Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
73,Allstate,Insurance,"57,094",11.10%,"53,200","Northfield Township, Cook County, Illinois"
74,Cisco,Telecom hardware manufacturing,"56,998",10.60%,"84,900","San Jose, California"
75,Nationwide Mutual Insurance Company,Financial,"54,609",6.10%,"24,118","Columbus, Ohio"
76,Charter Communications,Telecommunications,"54,607",1.10%,"1,01,100","Stamford, Connecticut"
77,AbbVie,Pharmaceutical industry,"54,317",-6.40%,"50,000","Lake Bluff, Illinois"
78,New York Life Insurance Company,Insurance,"54,317",14.20%,"15,384","New York City, New York"
79,Intel,Technology,"54,228",-14.00%,"1,24,800","Santa Clara, California"
80,TJX,Retail,"49,936",2.90%,"3,29,000","Framingham, Massachusetts"
81,Prudential Financial,Financials,"53,979",-10.10%,"40,366","Newark, New Jersey"
82,HP,Technology,"53,718",-14.50%,"58,000","Palo Alto, California"
83,United Airlines,Airline,"53,717",19.50%,"1,03,300","Chicago, Illinois"
84,Performance Food Group,Food processing,"53,355",13.10%,"34,825","Richmond, Virginia"
85,Tyson Foods,Food processing,"52,788",-0.80%,"1,39,000","Springdale, Arkansas"
86,American Airlines,Airline,"52,788",7.80%,"1,32,100","Fort Worth, Texas"
87,Liberty Mutual,Insurance,"52,612",5.30%,"45,000","Boston, Massachusetts"
88,Nike,Apparel,"51,217",9.60%,"83,700","Beaverton, Oregon"
89,Oracle Corporation,Technology,"49,954",17.70%,"1,64,000","Austin, Texas"
90,Enterprise Products,Petroleum industry,"49,715",-14.60%,"7,500","Houston, Texas"
91,Capital One Financial,Financials,"49,484",29.00%,"51,987","Richmond, Virginia"
92,Plains All American Pipeline,Petroleum industry,"48,712",-15.10%,"4,200","Houston, Texas"
93,World Kinect Corporation,Energy trading,"47,711",-19.20%,"5,289","Doral, Florida"
94,AIG,Insurance,"46,802",-17.10%,"25,200","New York City, New York"
95,Coca-Cola,Beverage,"45,754",6.40%,"79,100","Atlanta, Georgia"
96,TIAA,Financials,"45,735",11.80%,"16,023","New York City, New York"
97,CHS,Agriculture cooperative,"45,590",-4.60%,"10,609","Inver Grove Heights, Minnesota"
98,Bristol-Myers Squibb,Pharmaceutical industry,"45,006",-2.50%,"34,100","New York City, New York"
99,Dow Chemical Company,Chemical industry,"44,622",-21.60%,"35,900","Midland, Michigan"
100,Best Buy,Retail,"43,452",-6.10%,"85,000","Richfield, Minnesota"
